AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,LocationID,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFY,FirstDisbursementDate,ProcessingMethod,Subprogram,InitialInterestRate,FixedorVariableInterestRate,TerminMonths,NAICSCode,NAICSDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidinFullDate,ChargeoffDate,GrossChargeoffAmount,RevolverStatus,JobsSupported,CollateralInd,SoldSecondMarketInd
2025-09-30, 7A,Parsons 14 LLC,2053 Route 711,Ligonier,PA,15658,60403.0,S & T Bank,11124.0,,800 Philadelphia St,INDIANA,PA,15701,200000.0,150000.0,06/02/2011,2011,06/02/2011,7a General,Guaranty,6.0,V,186,721110.0,Hotels (except Casino Hotels) and Motels,,,WESTMORELAND,PA,PITTSBURGH DISTRICT OFFICE ,13.0,CORPORATION,,PIF,10/31/2022,,0.0,0,20.0,Y,
2025-09-30, 7A,Scott CPAs Inc.,"1490 Stone Point Drive, Suite ",ROSEVILLE,CA,95661,48270.0,"JPMorgan Chase Bank, National Association",628.0,,1111 Polaris Pkwy,Columbus,OH,43240,1381900.0,1036425.0,07/23/2012,2012,07/23/2012,Preferred Lenders Program,Guaranty,4.95,V,300,541211.0,Offices of Certified Public Accountants,,,PLACER,CA,SACRAMENTO DISTRICT OFFICE ,4.0,CORPORATION,,PIF,06/30/2020,,0.0,0,16.0,Y,
2025-09-30, 7A,QGS Inc,2104 Veirs Mill Road,ROCKVILLE,MD,20851,46391.0,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,300000.0,225000.0,06/26/2018,2018,07/26/2018,Preferred Lenders Program,Guaranty,7.25,V,84,722511.0,Full-Service Restaurants,,,MONTGOMERY,MD,WASHINGTON DISTRICT OFFICE ,8.0,CORPORATION,Change of Ownership,PIF,08/31/2024,,0.0,0,2.0,Y,Y
2025-09-30, 7A,Penguin Painters Incorporated,6516 Madison Rd,CINCINNATI,OH,45227,60009.0,First Commonwealth Bank,7468.0,,"654, Philadelphia St",Indiana,PA,15701,35000.0,17500.0,05/05/2015,2015,05/05/2015,SBA Express Program,FA$TRK (Small Loan Express),6.75,V,12,238320.0,Painting and Wall Covering Contractors,,,HAMILTON,OH,COLUMBUS DISTRICT OFFICE ,1.0,CORPORATION,,PIF,05/31/2016,,0.0,0,15.0,Y,
2025-09-30, 7A,Wealth Solutions LLC,1800 East Market Street,York,PA,17406,46391.0,Manufacturers and Traders Trust Company,588.0,,"One M & T Plaza, 15th Fl",BUFFALO,NY,14203,25000.0,12500.0,07/09/2010,2010,08/01/2010,SBA Express Program,FA$TRK (Small Loan Express),5.25,V,84,523110.0,Investment Banking and Securities Dealing,,,YORK,PA,PHILADELPHIA DISTRICT OFFICE ,10.0,CORPORATION,,PIF,03/31/2016,,0.0,1,1.0,N,
2025-09-30, 7A,Team Henry LLC,1290 Doyle Rd,DELTONA,FL,32725,317954.0,"Newtek Small Business Finance, Inc.",,,1981 Marcus Avenue,LAKE SUCCESS,NY,11042,1565000.0,1173750.0,12/03/2018,2019,12/31/2018,Preferred Lenders Program,Guaranty,8.0,V,300,811111.0,General Automotive Repair,,,VOLUSIA,FL,NORTH FLORIDA DISTRICT OFFICE ,6.0,CORPORATION,Change of Ownership,PIF,06/30/2023,,0.0,0,6.0,Y,Y
2025-09-30, 7A,Rapid Lube LLC,1810 8th St S,Wisconsin Rapids,WI,54494,57328.0,The Huntington National Bank,6560.0,,17 S High St.,COLUMBUS,OH,43215,48800.0,36600.0,03/14/2019,2019,03/31/2019,Preferred Lenders Program,Guaranty,8.25,V,18,811191.0,Automotive Oil Change and Lubrication Shops,,,WOOD,WI,WISCONSIN DISTRICT OFFICE ,3.0,CORPORATION,"Startup, Loan Funds will Open Business",CHGOFF,,04/21/2021,40613.6,0,10.0,N,Y
2025-09-30, 7A,Bear Valley Ranch Market,34275 Clinton Keith Rd Ste 111,Wildomar,CA,92595,110359.0,Bank of Hope,26610.0,,3200 Wilshire Blvd 1st Fl,LOS ANGELES,CA,90010,300000.0,150000.0,04/27/2011,2011,,SBA Express Program,FA$TRK (Small Loan Express),6.0,V,84,445310.0,"Beer, Wine, and Liquor Stores",,,RIVERSIDE,CA,SANTA ANA DISTRICT OFFICE ,42.0,PARTNERSHIP,,CANCLD,,,0.0,0,3.0,N,
2025-09-30, 7A,Mosko Moto LLC,120 SE WYERS ST,WHITE SALMON,WA,98672,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202,500000.0,375000.0,10/31/2017,2018,01/31/2018,Preferred Lenders Program,Guaranty,6.5,V,120,423910.0,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,,KLICKITAT,WA,SPOKANE BRANCH OFFICE ,3.0,CORPORATION,Less than 4 years old but at least 3,PIF,12/31/2021,,0.0,0,0.0,Y,
2025-09-30, 7A,Billingsley Funeral Home LLC,328 S. Broadway St,Hastings,MI,49058,33538.0,Commercial Bank,18584.0,,101 N Pine River St,Ithaca,MI,48847,823000.0,617250.0,12/13/2018,2019,05/31/2019,7a General,Guaranty,6.68,F,240,812210.0,Funeral Homes and Funeral Services,,,BARRY,MI,MICHIGAN DISTRICT OFFICE ,3.0,CORPORATION,Change of Ownership,EXEMPT,,,0.0,0,6.0,Y,
