AsOfDate,Program,BorrName,BorrStreet,BorrCity,BorrState,BorrZip,LocationID,BankName,BankFDICNumber,BankNCUANumber,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFY,FirstDisbursementDate,ProcessingMethod,Subprogram,InitialInterestRate,FixedorVariableInterestRate,TerminMonths,NAICSCode,NAICSDescription,FranchiseCode,FranchiseName,ProjectCounty,ProjectState,SBADistrictOffice,CongressionalDistrict,BusinessType,BusinessAge,LoanStatus,PaidinFullDate,ChargeoffDate,GrossChargeoffAmount,RevolverStatus,JobsSupported,CollateralInd,SoldSecondMarketInd
2025-09-30, 7A,THE CHILDREN'S GARDEN LLC,1392 STATE ROUTE 131,MILFORD,OH,45150,57943.0,RiverHills Bank,6662.0,,553 Chamber Dr,MILFORD,OH,45150,20000.0,10000.0,12/20/2007,2008,02/29/2008,SBA Express Program,FA$TRK (Small Loan Express),,,59,624410.0,Child Day Care Services,,,CLERMONT,OH,CINCINNATI BRANCH OFFICE ,1.0,CORPORATION,,PIF,02/28/2013,,0.0,1,6.0,N,
2025-09-30, 7A,T.M. CONSTRUCTION SPECIALIST INC.,1434 SW SEAGULL WAY,PALM CITY,FL,34990,28811.0,"Capital One, National Association",4297.0,,1680 Capital One Dr,MCLEAN,VA,22102,50000.0,25000.0,07/20/2006,2006,08/31/2006,SBA Express Program,FA$TRK (Small Loan Express),,,42,236220.0,Commercial and Institutional Building Construction,,,MARTIN,FL,SOUTH FLORIDA DISTRICT OFFICE ,18.0,CORPORATION,,PIF,07/31/2019,,0.0,1,14.0,N,
2025-09-30, 7A,PETE'S CUSTOM FLOORS,110 ALVARDO ST,WATSONVILLE,CA,95076,109692.0,Santa Cruz Community Credit Union,,64029.0,55 River Street,SANTA CRUZ,CA,95060,20000.0,10000.0,11/01/2004,2005,11/30/2004,SBA Express Program,FA$TRK (Small Loan Express),,,60,238330.0,Flooring Contractors,,,SANTA CRUZ,CA,SAN FRANCISCO DISTRICT OFFICE ,18.0,INDIVIDUAL,,PIF,04/30/2006,,0.0,0,15.0,N,
2025-09-30, 7A,BEAR CREEK WOOD WORKS LLC,431 ROCKY RAMP DR,CHAPIN,SC,29036,9551.0,"Bank of America, National Association",3510.0,,100 North Tryon Street,Charlotte,NC,28255,15000.0,7500.0,12/11/2001,2002,12/31/2001,SBA Express Program,FA$TRK (Small Loan Express),,,84,337127.0,Institutional Furniture Manufacturing,,,LEXINGTON,SC,SOUTH CAROLINA DISTRICT OFFICE ,5.0,CORPORATION,,PIF,08/31/2006,,0.0,1,10.0,N,
2025-09-30, 7A,Art Impressions Gallery & Framing,5358 WHIPPLEWOOD AVE SE,SALEM,OR,97306,12096.0,Wells Fargo Bank National Association,3511.0,,3201 N 4th Ave,Sioux Falls,SD,57104,87000.0,73950.0,04/10/2008,2008,04/30/2008,Preferred Lenders Program,Guaranty,,,88,442299.0,All Other Home Furnishings Stores,,,DESCHUTES,OR,PORTLAND DISTRICT OFFICE ,2.0,CORPORATION,,CHGOFF,,09/22/2011,67261.87,0,3.0,Y,
2025-09-30, 7A,CARNELL PAINTING INC,300 GROVE STREET,TAHOE CITY,CA,96145,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202,50000.0,25000.0,01/23/2002,2002,02/28/2002,SBA Express Program,FA$TRK (Small Loan Express),,,84,235210.0,Painting and Wall Covering,,,PLACER,CA,SACRAMENTO DISTRICT OFFICE ,4.0,CORPORATION,,PIF,07/31/2010,,0.0,1,7.0,N,
2025-09-30, 7A,Sababa Enterprises,9 BLUEVIEW ROAD,WEST ROXBURY,MA,2132,9551.0,"Bank of America, National Association",3510.0,,100 North Tryon Street,Charlotte,NC,28255,15000.0,7500.0,10/03/2006,2007,10/31/2006,SBA Express Program,FA$TRK (Small Loan Express),,,84,453998.0,All Other Miscellaneous Store Retailers (except Tobacco Stores),,,MIDDLESEX,MA,MASSACHUSETTS DISTRICT OFFICE ,4.0,INDIVIDUAL,,PIF,10/01/2009,,0.0,1,6.0,N,
2025-09-30, 7A,Legacy Wireless Services Inc.,11711 SE CAPPS ROAD SUITE A,CLACKAMAS,OR,97015,59698.0,Columbia Bank,17266.0,,"5885 Meadows, Ste 400",Lake Oswego,OR,97035,150000.0,127500.0,03/01/2002,2002,05/31/2002,Preferred Lenders Program,Guaranty,,,84,235990.0,All Other Special Trade Contractors,,,CLACKAMAS,OR,PORTLAND DISTRICT OFFICE ,3.0,CORPORATION,,PIF,05/31/2005,,0.0,0,6.0,,Y
2025-09-30, 7A,SPORTS IMPRESSIONS INC,P O BOX 484,LAND O'LAKES,WI,54540,21442.0,BMO Bank National Association,16571.0,,320 S Canal St,Chicago,IL,60606,150000.0,112500.0,04/26/2002,2002,06/30/2002,Preferred Lenders Program,Guaranty,,,84,453220.0,"Gift, Novelty, and Souvenir Stores",,,VILAS,WI,WISCONSIN DISTRICT OFFICE ,1.0,CORPORATION,,PIF,10/31/2008,,0.0,0,1.0,N,
2025-09-30, 7A,FAST FREDDIE TRANSPORT INC,7065 MADRONE AVE,SAN DIEGO,CA,92114,53803.0,"U.S. Bank, National Association",6548.0,,425 Walnut St,CINCINNATI,OH,45202,10000.0,5000.0,12/05/2007,2008,12/31/2007,SBA Express Program,FA$TRK (Small Loan Express),,,64,492210.0,Local Messengers and Local Delivery,,,SAN DIEGO,CA,SAN DIEGO DISTRICT OFFICE ,51.0,CORPORATION,,PIF,09/30/2020,,0.0,1,3.0,N,
